United Kingdom + Scotland,,,,
6. ID Card,6. Bachelor's Certificate,6. Bachelor's Certificate,,
7. CV (Europass),7. Passport,7. Master's Transcript,,
"8. Passport size Photograph
(With White Background)",8. ID Card,8. Master's Certificate,,
9. Bith Certificate + B-From,9. CV (Europass),9. Passport,,
10. FRC (Family Registration Certificate),"10. Passport size Photograph
(With White Background)",10. ID Card,,
11. Affidavit,11. Bith Certificate + B-From,11. CV (Europass),,
12. Recommendation Letters (2),12. FRC (Family Registration Certificate),"12. Passport size Photograph
(With White Background)",,
13. English Language Test/ MOI,13. Affidavit,13. Bith Certificate + B-From,,
"14. Statement of purpose/ 
Motivational Letter ",14. Recommendation Letters (2),14. FRC (Family Registration Certificate),,
15. Police Character Certificate ,15. English Language Test/ MOI,15. Affidavit,,
16. Medical,"16. Statement of purpose/ 
Motivational Letter ",16. Recommendation Letters (2),,
17. Health insurance ,17. Police Character Certificate ,17. English Language Test/ MOI,,
18. Experience Letter to Cover Gap,18. Medical,"18. Statement of purpose/ 
Motivational Letter ",,
,19. Health insurance ,19. Police Character Certificate ,,
,20. Experience Letter to Cover Gap,20. Medical,,
,,21. Health insurance ,,
,,22. Experience Letter to Cover Gap,,
,,"23. Research Proposal
(Detailed)",,
,,24. Supervisor Acceptance Letter,,
,,"25. Publications if Available
(For Plus Points)",,
,,,,
Cyprus,,,,
,,,,
Bachelors,Masters,PhD,,
1 .Matric Trancript ,1 .Matric Trancript ,1 .Matric Trancript ,,
2. Matric Certificate,2. Matric Certificate,2. Matric Certificate,,
3. Intermediate Transcript,3. Intermediate Transcript,3. Intermediate Transcript,,
4. Intermediate Certificate,4. Intermediate Certificate,4. Intermediate Certificate,,
5. Passport,5. Bachelor's Transcript,5. Bachelor's Transcript,,
6. ID Card,6. Bachelor's Certificate,6. Bachelor's Certificate,,
7. CV (Europass),7. Passport,7. Master's Transcript,,
8. Recommendation Letters (2),8. ID Card,8. Master's Certificate,,
"9. English Language Test
(IELTS with 5.5 no less than 5.0)",9. CV (Europass),9. Passport,,
10. Birth Certificate +B-Form,10. Recommendation Letters (2),10. ID Card,,
"11. Passport size Photograph
(With White Background)","11. English Language Test
(IELTS with 5.5 no less than 5.0)",11. CV (Europass),,
12. Recommendation Letters (2),12. Birth Certificate +B-Form,12. Recommendation Letters (2),,
13. English Language Test/ MOI,"13. Passport size Photograph
(With White Background)","13. English Language Test
(IELTS with 6.0-6.5 )",,
"14. Statement of purpose/ 
Motivational Letter ",14. Recommendation Letters (2),14. Birth Certificate +B-Form,,
15. Police Character Certificate ,15. English Language Test/ MOI,"15. Passport size Photograph
(With White Background)",,
16. Medical,"16. Statement of purpose/ 
Motivational Letter ",16. Recommendation Letters (2),,
17. Health insurance ,17. Police Character Certificate ,17. English Language Test/ MOI,,
18. Experience Letter to Cover Gap,18. Medical,"18. Statement of purpose/ 
Motivational Letter ",,
,19. Health insurance ,19. Police Character Certificate ,,
,20. Experience Letter to Cover Gap,20. Medical,,
,"21. Research Proposal
(For Master by Research)",21. Health insurance ,,
,,22. Experience Letter to Cover Gap,,
,,"23. Research Proposal
(Detailed)",,
,,24. Supervisor Acceptance Letter,,
,,"25. Publications if Available
(For Plus Points)",,
